target,breakdown,group,n,tabnet_f1_macro,rules_f1_macro,tabnet_balanced_accuracy,rules_balanced_accuracy,tabnet_auroc
sodium_sensitivity,comorbidity,none,13136,0.4345,0.3247,0.4903,0.3347,0.789
sodium_sensitivity,comorbidity,HTN only,11931,0.3101,0.1703,0.4395,0.3699,0.6555
sodium_sensitivity,comorbidity,HTN+DM+CKD,3816,0.2749,0.2084,0.4335,0.3871,0.6492
sodium_sensitivity,comorbidity,HTN+CKD,3571,0.2707,0.2061,0.4374,0.3936,0.6636
sodium_sensitivity,comorbidity,HTN+DM,5570,0.2837,0.1731,0.4447,0.3763,0.6526
sodium_sensitivity,comorbidity,DM only,1691,0.3922,0.3191,0.4869,0.3351,0.7167
sodium_sensitivity,comorbidity,CKD only,667,0.4049,0.3028,0.5171,0.3263,0.7602
sodium_sensitivity,comorbidity,DM+CKD,263,0.3362,0.3288,0.4276,0.344,0.5983
sodium_sensitivity,era,2008-2019,37840,0.3678,0.3678,0.5144,0.458,0.733
sodium_sensitivity,era,2020-2022,2805,0.3826,0.4191,0.4753,0.4713,0.7214
potassium_sensitivity,comorbidity,none,14885,0.3858,0.3925,0.4172,0.4197,0.663
potassium_sensitivity,comorbidity,HTN only,14658,0.4013,0.3788,0.4382,0.4279,0.658
potassium_sensitivity,comorbidity,HTN+DM+CKD,5201,0.2158,0.2264,0.3862,0.3836,0.6642
potassium_sensitivity,comorbidity,HTN+CKD,4935,0.2595,0.2166,0.4076,0.3858,0.6501
potassium_sensitivity,comorbidity,DM only,2073,0.3905,0.4033,0.4541,0.4415,0.6822
potassium_sensitivity,comorbidity,CKD only,911,0.2434,0.2606,0.4105,0.4484,0.6441
potassium_sensitivity,comorbidity,HTN+DM,6766,0.3739,0.3817,0.4375,0.4318,0.6769
potassium_sensitivity,comorbidity,DM+CKD,374,0.1986,0.2432,0.3409,0.3543,0.6165
potassium_sensitivity,era,2008-2019,45215,0.3905,0.3849,0.4753,0.4675,0.7112
potassium_sensitivity,era,2020-2022,4588,0.3952,0.3971,0.4439,0.4375,0.7015
protein_restriction,comorbidity,none,14908,0.3306,0.3694,0.415,0.3686,0.6105
protein_restriction,comorbidity,HTN only,14588,0.2826,0.3494,0.3889,0.3572,0.5664
protein_restriction,comorbidity,HTN+DM+CKD,5193,0.2029,0.0264,0.3546,0.3333,0.6199
protein_restriction,comorbidity,HTN+CKD,4927,0.1921,0.022,0.382,0.3333,0.635
protein_restriction,comorbidity,DM only,2070,0.2301,0.3534,0.3947,0.3594,0.5867
protein_restriction,comorbidity,CKD only,909,0.1759,0.022,0.3726,0.3333,0.602
protein_restriction,comorbidity,HTN+DM,6736,0.2509,0.3415,0.4038,0.3498,0.5639
protein_restriction,comorbidity,DM+CKD,374,0.1888,0.0257,0.3754,0.3333,0.5688
protein_restriction,era,2008-2019,45110,0.3425,0.3188,0.474,0.358,0.6647
protein_restriction,era,2020-2022,4595,0.3558,0.3416,0.4637,0.3734,0.6604
carb_sensitivity,comorbidity,none,14816,0.4663,0.2899,0.4483,0.3875,0.6876
carb_sensitivity,comorbidity,HTN only,14554,0.4306,0.2601,0.421,0.38,0.6609
carb_sensitivity,comorbidity,HTN+DM+CKD,5180,0.254,0.2306,0.3703,0.3533,0.6198
carb_sensitivity,comorbidity,HTN+CKD,4901,0.463,0.3199,0.4741,0.4147,0.6866
carb_sensitivity,comorbidity,DM only,2067,0.2542,0.2222,0.3668,0.339,0.6297
carb_sensitivity,comorbidity,CKD only,909,0.4675,0.3168,0.4697,0.3806,0.6687
carb_sensitivity,comorbidity,HTN+DM,6729,0.2416,0.2024,0.3645,0.3409,0.6247
carb_sensitivity,comorbidity,DM+CKD,374,0.2473,0.2383,0.3631,0.3487,0.6065
carb_sensitivity,era,2008-2019,44950,0.4823,0.3123,0.5213,0.4229,0.7654
carb_sensitivity,era,2020-2022,4580,0.4989,0.3661,0.5204,0.4447,0.7538
